! : 2 : {(d14.txt, 182), (d5.txt, 97)}	
$ : 1 : {(d1.txt, 2)}	
&#91; : 1 : {(d17.txt, 225)}	
&#93; : 3 : {(d1.txt, 1), (d17.txt, 225), (d6.txt, 16)}	
&amp; : 1 : {(d8.txt, 1)}	
&apos; : 3 : {(d13.txt, 9), (d4.txt, 18), (d9.txt, 1088)}	
&apos;ARD : 1 : {(d2.txt, 1)}	
&apos;Accords : 1 : {(d15.txt, 1)}	
&apos;Agoust : 1 : {(d10.txt, 12)}	
&apos;Aiguilon : 1 : {(d10.txt, 1)}	
&apos;Aintrigues : 1 : {(d10.txt, 1)}	
&apos;All : 1 : {(d15.txt, 1)}	
&apos;Ancien : 1 : {(d5.txt, 1)}	
&apos;Antraigues : 1 : {(d10.txt, 1)}	
&apos;Are : 1 : {(d14.txt, 1)}	
&apos;Ariel : 1 : {(d14.txt, 3)}	
&apos;But : 1 : {(d14.txt, 6)}	
&apos;Commune : 1 : {(d10.txt, 1)}	
&apos;Companies : 1 : {(d10.txt, 1)}	
&apos;Diabolism : 1 : {(d14.txt, 1)}
